ProductID,ProductName,PaymentMethod,CategoryID
645,Product 645,Debit Card,44
646,Product 646,Credit Card,3
945,Product 945,Debit Card,47
480,Product 480,Debit Card,7
346,Product 346,Credit Card,29
921,Product 921,PayPal,48
944,Product 944,Debit Card,33
544,Product 544,Cash,12
706,Product 706,Debit Card,13
366,Product 366,Cash,15
240,Product 240,PayPal,39
216,Product 216,Cash,29
633,Product 633,Cash,9
675,Product 675,Cash,1
864,Product 864,Debit Card,12
378,Product 378,PayPal,32
412,Product 412,PayPal,42
831,Product 831,Cash,28
725,Product 725,PayPal,24
119,Product 119,Cash,9
307,Product 307,Cash,50
677,Product 677,Credit Card,43
478,Product 478,Debit Card,24
612,Product 612,PayPal,30
560,Product 560,Cash,28
279,Product 279,PayPal,26
457,Product 457,Debit Card,39
915,Product 915,Cash,15
843,Product 843,Credit Card,14
726,Product 726,PayPal,4
558,Product 558,Cash,44
615,Product 615,PayPal,15
957,Product 957,PayPal,38
578,Product 578,Debit Card,3
612,Product 612,PayPal,6
216,Product 216,Credit Card,45
625,Product 625,Cash,13
590,Product 590,Debit Card,20
972,Product 972,PayPal,33
779,Product 779,PayPal,44
764,Product 764,Debit Card,24
239,Product 239,Cash,3
664,Product 664,Cash,29
217,Product 217,Cash,25
317,Product 317,Debit Card,17
964,Product 964,Debit Card,26
802,Product 802,Credit Card,30
803,Product 803,Credit Card,26
223,Product 223,Credit Card,18
270,Product 270,Debit Card,32
328,Product 328,Debit Card,8
798,Product 798,Debit Card,4
956,Product 956,Credit Card,15
519,Product 519,Cash,47
137,Product 137,PayPal,32
272,Product 272,Credit Card,40
860,Product 860,Credit Card,39
122,Product 122,PayPal,35
151,Product 151,Cash,32
291,Product 291,Cash,15
320,Product 320,PayPal,3
110,Product 110,Credit Card,13
656,Product 656,Cash,33
386,Product 386,PayPal,2
418,Product 418,PayPal,48
160,Product 160,PayPal,4
178,Product 178,Cash,5
867,Product 867,Debit Card,6
552,Product 552,Cash,9
239,Product 239,Cash,45
708,Product 708,Cash,33
656,Product 656,Credit Card,39
422,Product 422,Cash,1
332,Product 332,PayPal,43
558,Product 558,Debit Card,47
747,Product 747,Cash,3
110,Product 110,PayPal,17
452,Product 452,Debit Card,38
740,Product 740,Debit Card,29
634,Product 634,Cash,27
761,Product 761,Cash,42
884,Product 884,Debit Card,28
460,Product 460,Credit Card,27
488,Product 488,PayPal,30
546,Product 546,Cash,30
857,Product 857,Cash,5
157,Product 157,Cash,43
169,Product 169,Debit Card,16
193,Product 193,Debit Card,48
847,Product 847,Cash,50
297,Product 297,Cash,9
967,Product 967,Credit Card,7
793,Product 793,Credit Card,1
962,Product 962,Cash,33
252,Product 252,Debit Card,2
582,Product 582,Cash,30
495,Product 495,Debit Card,12
835,Product 835,PayPal,10
988,Product 988,Credit Card,45
775,Product 775,Credit Card,30
417,Product 417,Debit Card,39
209,Product 209,Cash,45
693,Product 693,PayPal,34
545,Product 545,Debit Card,37
837,Product 837,Credit Card,31
136,Product 136,PayPal,2
577,Product 577,PayPal,2
509,Product 509,Credit Card,8
333,Product 333,Debit Card,27
783,Product 783,PayPal,21
816,Product 816,Debit Card,39
535,Product 535,Credit Card,47
346,Product 346,PayPal,28
754,Product 754,Debit Card,44
385,Product 385,Credit Card,41
737,Product 737,Debit Card,50
704,Product 704,PayPal,5
433,Product 433,Credit Card,24
958,Product 958,Cash,30
981,Product 981,Credit Card,26
598,Product 598,Credit Card,5
723,Product 723,Debit Card,18
664,Product 664,Cash,24
318,Product 318,Credit Card,19
820,Product 820,PayPal,49
118,Product 118,Credit Card,31
448,Product 448,Credit Card,28
790,Product 790,Debit Card,49
766,Product 766,Credit Card,14
831,Product 831,Credit Card,28
396,Product 396,Cash,44
366,Product 366,Debit Card,48
243,Product 243,Cash,6
552,Product 552,Debit Card,43
